"time","voltageSource.v","resistor.v","inductor.v","capacitor.v","der(capacitor.v)","inductor.i","der(voltageSource.i)"
0.0132,-5.358267949789964,0.1313365767157224,0.002708921179976009,-5.492313447685662,2626.731534314448,0.01313365767157224,-2.708921179976009
0.0133,-5.090414157503711,0.1339806394956783,0.002578661725219256,-5.226973458724608,2679.612789913567,0.01339806394956784,-2.578661725219256
0.0134,-4.817536741017153,0.1364930699814723,0.002446700048611028,-4.956476511047236,2729.861399629446,0.01364930699814723,-2.446700048611028
0.0135,-4.539904997395461,0.1388716682132185,0.00231218422655477,-4.681088849835235,2777.433364264371,0.01388716682132185,-2.31218422655477
0.0136,-4.257792915650722,0.1411142820093257,0.002173523660395915,-4.401080721320444,2822.285640186514,0.01411142820093257,-2.173523660395915
0.0137,-3.971478906347803,0.143217138919482,0.002031208113933758,-4.116727253381218,2864.342778389639,0.0143217138919482,-2.031208113933758
0.0138,-3.681245526846778,0.1451775811746941,0.001886583418885923,-3.828309691440358,2903.551623493882,0.01451775811746941,-1.886583418885923
0.0139,-3.387379202452914,0.1469929697326963,0.001742218574476428,-3.536114390760086,2939.859394653927,0.01469929697326964,-1.742218574476428
0.014,-3.090169943749467,0.1486634090447788,0.001598553671031677,-3.240431906465278,2973.268180895576,0.01486634090447788,-1.598553671031677
0.0141,-2.789911060392296,0.1501883163464406,0.001454441133073914,-2.941553817871811,3003.766326928812,0.01501883163464406,-1.454441133073914
0.0142,-2.486898871648553,0.151567654898387,0.00130680838837538,-2.639773334935315,3031.35309796774,0.0151567654898387,-1.30680838837538
0.0143,-2.181432413965424,0.1527979931430474,0.001154440626797371,-2.335384847735269,3055.959862860947,0.01527979931430474,-1.154440626797371
0.0144,-1.873813145857246,0.1538764695242744,0.0009984908405087367,-2.028688106222029,3077.529390485487,0.01538764695242744,-0.9984908405087367
0.0145,-1.56434465040231,0.1547997247430516,0.0008430675542721033,-1.719987442699634,3095.994494861032,0.01547997247430516,-0.8430675542721033
0.0146,-1.253332335643046,0.1555688347591303,0.000691171327375617,-1.409592341729552,3111.376695182606,0.01555688347591303,-0.691171327375617
0.0147,-0.9410831331851486,0.156185493354267,0.0005420668179805244,-1.097810693357396,3123.70986708534,0.0156185493354267,-0.5420668179805244
0.0148,-0.627905195293132,0.1566511238604284,0.0003921232209879166,-0.7849484423745484,3133.022477208568,0.01566511238604284,-0.3921232209879166
0.0149,-0.314107590781283,0.1569642645664296,0.0002368879037850657,-0.4713087432514976,3139.285291328591,0.01569642645664296,-0.2368879037850657
0.015,-1.836909530733566e-15,0.1571219770786135,7.704712228950861e-05,-0.1571990242009048,3142.439541572269,0.01571219770786135,-0.07704712228950861
0.0151,0.3141075907812882,0.1571211137943549,-8.213206894724934e-05,0.1570686090558806,3142.422275887097,0.01571211137943549,0.08213206894724934
0.0152,0.6279051952931372,0.1569624790685442,-0.0002359959410889734,0.471178712165682,3139.249581370882,0.01569624790685441,0.2359959410889734
0.0153,0.9410831331851449,0.1566506502975667,-0.0003861274271387272,0.7848186103147169,3133.013005951334,0.01566506502975667,0.3861274271387272
0.0154,1.253332335643042,0.1561880262956403,-0.0005381441932574837,1.09768245354066,3123.760525912805,0.01561880262956403,0.5381441932574837
0.0155,1.564344650402307,0.155572184537531,-0.0006943737381526205,1.409466839602928,3111.443690750621,0.0155572184537531,0.6943737381526205
0.0156,1.873813145857251,0.154800221825035,-0.00085141470137029,1.719864338733587,3096.0044365007,0.0154800221825035,0.85141470137029
0.0157,2.181432413965429,0.1538727397825068,-0.001004077423200744,2.028563751606123,3077.454795650136,0.01538727397825068,1.004077423200744
0.0158,2.486898871648549,0.1527939420169779,-0.001151965903290808,2.335256895534862,3055.878840339557,0.01527939420169779,1.151965903290808
0.0159,2.789911060392292,0.1515675255226217,-0.001299680101846334,2.639643214971517,3031.350510452434,0.01515675255226217,1.299680101846334
0.016,3.090169943749472,0.1501930622212038,-0.001450760287753372,2.941427641816022,3003.861244424076,0.01501930622212038,1.450760287753372
0.0161,3.387379202452911,0.1486680176595739,-0.001601715973847284,3.240312900767184,2973.360353191479,0.01486680176595739,1.601715973847284
0.0162,3.681245526846791,0.1469934904099879,-0.001747686832018758,3.535999723268822,2939.869808199758,0.01469934904099879,1.747686832018758
0.0163,3.971478906347816,0.1451745524698437,-0.001888588993748996,3.828192942871721,2903.491049396874,0.01451745524698437,1.888588993748996
0.0164,4.257792915650734,0.1432150974785512,-0.002028441275808035,4.116606259447991,2864.301949571024,0.01432150974785512,2.028441275808035
0.0165,4.539904997395475,0.1411157225974037,-0.002170142284508181,4.400959417082579,2822.314451948073,0.01411157225974037,2.170142284508181
0.0166,4.817536741017157,0.1388754419880263,-0.002311685582612633,4.680972984611744,2777.508839760525,0.01388754419880263,2.311685582612633
0.0167,5.090414157503716,0.1364957064316261,-0.002448818156176813,4.956367269228267,2729.914128632521,0.01364957064316261,2.448818156176813
0.0168,5.358267949789967,0.1339810662181407,-0.002580636731068786,5.226867520302895,2679.621324362814,0.01339810662181407,2.580636731068786
0.0169,5.620833778521298,0.1313357822776914,-0.002709473797930961,5.492207470041538,2626.715645553827,0.01313357822776914,2.709473797930961
0.017,5.877852522924737,0.1285621517134821,-0.002837365098099731,5.752127736309355,2571.243034269642,0.01285621517134821,2.837365098099731
0.0171,6.12907053652977,0.1256615010112692,-0.002963814406538035,6.006372849925039,2513.230020225384,0.01256615010112692,2.963814406538035
0.0172,6.3742398974869,0.12263591826104,-0.00308709805744023,6.2546910772833,2452.7183652208,0.012263591826104,3.08709805744023
0.0173,6.613118653236519,0.1194888271834722,-0.003206343084183771,6.49683616913723,2389.776543669444,0.01194888271834722,3.206343084183771
0.0174,6.845471059286886,0.1162241989379167,-0.00332192146191268,6.732568781810882,2324.483978758333,0.01162241989379167,3.32192146191268
0.0175,7.07106781186548,0.1128454479174251,-0.003434791829688422,6.961657155777743,2256.908958348502,0.01128454479174251,3.434791829688422
0.0176,7.289686274214119,0.109355541569481,-0.003545111987746985,7.183875844632385,2187.110831389619,0.0109355541569481,3.545111987746985
0.0177,7.501110696304597,0.1057572800996232,-0.00365195150655051,7.399005367711524,2115.145601992464,0.01057572800996232,3.65195150655051
0.0178,7.705132427757894,0.102054231166459,-0.003755301575290027,7.606833498166725,2041.08462332918,0.0102054231166459,3.755301575290027
0.0179,7.901550123756903,0.09824986050396356,-0.003854071480634325,7.807154334733574,1964.997210079271,0.009824986050396356,3.854071480634325
0.018,8.090169943749478,0.09434858025371828,-0.003948617887853167,7.999769981383613,1886.971605074366,0.009434858025371829,3.948617887853167
0.0181,8.270805742745621,0.09035470026466479,-0.004038469253414334,8.18448951173437,1807.094005293296,0.009035470026466479,4.038469253414334
0.0182,8.443279255020153,0.08627209226791507,-0.004124935005487274,8.361132097757725,1725.441845358301,0.008627209226791508,4.124935005487274
0.0183,8.607420270039437,0.0821049507684127,-0.004208052313705579,8.52952337158473,1642.099015368254,0.008210495076841271,4.208052313705579
0.0184,8.763066800438637,0.07785658087604441,-0.004287675405857172,8.689497894968449,1557.131617520888,0.007785658087604442,4.287675405857172
0.0185,8.910065241883681,0.0735309827417341,-0.004363430699429571,8.840897689841375,1470.619654834682,0.00735309827417341,4.363430699429571
0.0186,9.048270524660197,0.06913229318537244,-0.004434361039653112,8.983572592514477,1382.645863707449,0.006913229318537244,4.434361039653112
0.0187,9.177546256839813,0.06466502001294998,-0.004500274661729975,9.117381511488594,1293.300400258999,0.006466502001294998,4.500274661729975
0.0188,9.297764858882514,0.06013417197296703,-0.004561074734258597,9.242191761643806,1202.68343945934,0.006013417197296702,4.561074734258597
0.0189,9.408807689542254,0.05554427250414586,-0.004617319543427811,9.357880736581535,1110.885450082917,0.005554427250414586,4.617319543427811
0.019,9.510565162951538,0.05090018218321368,-0.004669517600015993,9.464334498368341,1018.003643664273,0.005090018218321368,4.669517600015993
0.0191,9.602936856769432,0.04620604761351663,-0.004717706820780876,9.561448515976696,924.1209522703325,0.004620604761351663,4.717706820780876
0.0192,9.685831611286309,0.0414660056564612,-0.004761846980835927,9.649127452610683,829.3201131292238,0.00414660056564612,4.761846980835927
0.0193,9.759167619387473,0.03668471447295803,-0.004801347382056065,9.72728425229657,733.6942894591607,0.003668471447295804,4.801347382056065
0.0194,9.822872507286887,0.03186650960286836,-0.004835305659941724,9.795841303343959,637.3301920573671,0.003186650960286836,4.835305659941724
0.0195,9.876883405951377,0.02701673798037881,-0.004863813198634048,9.854730481169632,540.3347596075762,0.002701673798037881,4.863813198634048
0.0196,9.921147013144777,0.0221407060579666,-0.00488666547487604,9.903892972561687,442.8141211593319,0.00221407060579666,4.88666547487604
0.0197,9.955619646030801,0.01724344752431013,-0.004904943578642573,9.943281142085134,344.8689504862026,0.001724344752431013,4.904943578642573
0.0198,9.980267284282716,0.0123300803589496,-0.004919483818717652,9.972856687742484,246.601607178992,0.00123300803589496,4.919483818717652
0.0199,9.995065603657316,0.00740451663751247,-0.004930314786154355,9.992591401805958,148.0903327502494,0.0007404516637512469,4.930314786154355
0.02,10,0.00247110562089831,-0.004937306587095236,10.0024662009662,49.4221124179662,0.000247110562089831,4.937306587095236
0.0201,9.995065603657315,-0.002465969608888143,-0.004938682840963438,10.00247025610717,-49.31939217776286,-0.0002465969608888143,4.938682840963438
0.0202,9.980267284282716,-0.007401587868305138,-0.004933905698338847,9.99260277784936,-148.0317573661027,-0.0007401587868305138,4.933905698338847
0.0203,9.955619646030799,-0.01232972651547817,-0.004922109299402067,9.972871481845679,-246.5945303095634,-0.001232972651547817,4.922109299402067
0.0204,9.921147013144777,-0.01724505780664456,-0.004904635724866324,9.943296706676287,-344.9011561328912,-0.001724505780664456,4.904635724866324
0.0205,9.876883405951379,-0.02214119669604561,-0.004883597430096032,9.90390820007752,-442.8239339209122,-0.002214119669604561,4.883597430096032
0.0206,9.822872507286887,-0.02701460544923875,-0.004859346534662023,9.854746459270787,-540.2921089847749,-0.002701460544923875,4.859346534662023
0.0207,9.759167619387473,-0.03186151677700622,-0.004833691197983825,9.795862827362463,-637.2303355401243,-0.003186151677700622,4.833691197983825
0.0208,9.685831611286311,-0.0366782690346028,-0.004803843211421466,9.727313723532335,-733.5653806920559,-0.00366782690346028,4.803843211421466
0.0209,9.60293685676943,-0.04146188517571485,-0.004767462875667761,9.649166204820812,-829.237703514297,-0.004146188517571485,4.767462875667761
0.021,9.510565162951535,-0.04620558487381632,-0.004723426074633608,9.561494173899984,-924.1116974763263,-0.004620558487381632,4.723426074633608
0.0211,9.408807689542256,-0.0509034234736041,-0.004670263487113857,9.464381376502974,-1018.068469472082,-0.00509034234736041,4.670263487113857
0.0212,9.297764858882513,-0.05554839101369332,-0.004612331557437344,9.357925581453642,-1110.967820273866,-0.005554839101369332,4.612331557437344
0.0213,9.177546256839811,-0.06013473598448385,-0.004552209916752759,9.242233202741048,-1202.694719689677,-0.006013473598448385,4.552209916752759
0.0214,9.048270524660191,-0.06466042530013685,-0.004493193695685349,9.117424143656013,-1293.208506002737,-0.006466042530013686,4.493193695685349
0.0215,8.910065241883681,-0.0691227970936541,-0.004434680461692153,8.983622719439026,-1382.455941873082,-0.00691227970936541,4.434680461692153
0.0216,8.763066800438633,-0.07352219970871993,-0.004371379312958723,8.840960379460311,-1470.443994174399,-0.007352219970871993,4.371379312958723
0.0217,8.607420270039436,-0.07785279476300415,-0.004299762413985775,8.689572827216425,-1557.055895260083,-0.007785279476300415,4.299762413985775
0.0218,8.443279255020151,-0.08210890664213323,-0.004213085147389606,8.529601246809674,-1642.178132842665,-0.008210890664213323,4.213085147389606
0.0219,8.270805742745619,-0.0862800771584136,-0.004119877630110125,8.361205697534142,-1725.601543168272,-0.00862800771584136,4.119877630110125
0.022,8.090169943749469,-0.09035769905423569,-0.004025394522399139,8.184553037326104,-1807.153981084713,-0.009035769905423569,4.025394522399139
0.0221,7.901550123756906,-0.09434252382292505,-0.003936050444512951,7.999828698024344,-1886.850476458501,-0.009434252382292504,3.936050444512951
0.0222,7.70513242775789,-0.09823558408098094,-0.003852205061294356,7.807220216900165,-1964.711681619619,-0.009823558408098095,3.852205061294356
0.0223,7.501110696304595,-0.1020422796516329,-0.003768940205869598,7.606921916162097,-2040.845593032657,-0.01020422796516329,3.768940205869598
0.0224,7.28968627421411,-0.1057554512172202,-0.003672968654634623,7.399114694085965,-2115.109024344405,-0.01057554512172202,3.672968654634623
0.0225,7.071067811865477,-0.1093663409633014,-0.00355651350221553,7.183990666330994,-2187.326819266027,-0.01093663409633014,3.55651350221553
0.0226,6.845471059286884,-0.1128587821892035,-0.003423905741106736,6.961753747217194,-2257.175643784071,-0.01128587821892035,3.423905741106736
0.0227,6.613118653236517,-0.1162249562476507,-0.003302564792603491,6.732646174276772,-2324.499124953014,-0.01162249562476507,3.302564792603491
0.0228,6.374239897486897,-0.1194760768418184,-0.003202721400068498,6.496918695728783,-2389.521536836367,-0.01194760768418184,3.202721400068498
0.0229,6.129070536529766,-0.1226246961425052,-0.003101238960048214,6.25479647163232,-2452.493922850103,-0.01226246961425051,3.101238960048214
0.023,5.877852522924726,-0.125664000248938,-0.002976034241646275,6.006492557415311,-2513.280004978759,-0.0125664000248938,2.976034241646275
0.0231,5.620833778521311,-0.1285730189066273,-0.002833083183960916,5.752239880611899,-2571.460378132546,-0.01285730189066273,2.833083183960916
0.0232,5.358267949789973,-0.1313405790026248,-0.002694618178997743,5.492303146971595,-2626.811580052497,-0.01313405790026248,2.694618178997743
0.0233,5.090414157503712,-0.1339736551148254,-0.00257333031958229,5.22696114293812,-2679.473102296508,-0.01339736551148254,2.57333031958229
0.0234,4.817536741017162,-0.1364847109268848,-0.002456410211562954,4.95647786215561,-2729.694218537696,-0.01364847109268848,2.456410211562954
0.0235,4.53990499739547,-0.1388733685043125,-0.002321605659288295,4.681099971559071,-2777.46737008625,-0.01388733685043125,2.321605659288295
0.0236,4.257792915650731,-0.1411221890654449,-0.002169200176354913,4.401084304892531,-2822.443781308898,-0.01411221890654449,2.169200176354913
0.0237,3.971478906347796,-0.1432187056367503,-0.002020909871108145,4.116718521855654,-2864.374112735006,-0.01432187056367503,2.020909871108145
0.0238,3.681245526846788,-0.1451698122886284,-0.00188569129654681,3.828301030431963,-2903.396245772568,-0.01451698122886284,1.88569129654681
0.0239,3.387379202452907,-0.1469862815979392,-0.001754171691918494,3.536119655742764,-2939.725631958785,-0.01469862815979392,1.754171691918494
0.024,3.090169943749468,-0.1486669755983327,-0.00160883555545599,3.240445754903257,-2973.339511966654,-0.01486669755983327,1.60883555545599
0.0241,2.789911060392289,-0.1501987941282128,-0.001449145409675001,2.941558999930177,-3003.975882564256,-0.01501987941282128,1.449145409675001
0.0242,2.486898871648546,-0.1515711332693747,-0.001293145324183786,2.639763150242104,-3031.422665387495,-0.01515711332693748,1.293145324183786
0.0243,2.181432413965416,-0.1527908404856854,-0.001151095382265321,2.335374349833367,-3055.816809713708,-0.01527908404856854,1.151095382265321
0.0244,1.873813145857247,-0.1538686981996135,-0.001008717231344214,2.028690561288205,-3077.373963992271,-0.01538686981996135,1.008717231344214
0.0245,1.564344650402303,-0.154800469237522,-0.0008526696316775162,1.719997789271502,-3096.009384750439,-0.0154800469237522,0.8526696316775162
0.0246,1.253332335643038,-0.1555740254666463,-0.0006906044613648188,1.40959696557105,-3111.480509332927,-0.01555740254666464,0.6906044613648188
0.0247,0.941083133185132,-0.1561875082942298,-0.00053591651660434,1.097806557995966,-3123.750165884596,-0.01561875082942298,0.53591651660434
0.0248,0.6279051952931332,-0.1566480949054822,-0.0003895062281543682,0.7849427964267697,-3132.961898109643,-0.01566480949054822,0.3895062281543682
0.0249,0.3141075907812754,-0.1569615107390329,-0.0002398069724882101,0.4713089084927966,-3139.230214780659,-0.0156961510739033,0.2398069724882101
0.025,-5.820268312445309e-15,-0.1571223399692495,-7.972884225701526e-05,0.1572020688115007,-3142.446799384991,-0.01571223399692495,0.07972884225701526
0.0251,-0.3141075907812869,-0.1571221863004826,8.185090946410956e-05,-0.1570672553902684,-3142.443726009652,-0.01571221863004826,-0.08185090946410956
0.0252,-0.6279051952931359,-0.1569629219342385,0.0002362113727051862,-0.4711784847316026,-3139.25843868477,-0.01569629219342385,-0.2362113727051862
0.0253,-0.9410831331851526,-0.1566510708955203,0.0003865287107313042,-0.7848185910003637,-3133.021417910405,-0.01566510708955203,-0.3865287107313042
0.0254,-1.253332335643041,-0.1561879776048665,0.0005388098838574606,-1.097683167922032,-3123.75955209733,-0.01561879776048665,-0.5388098838574606
0.0255,-1.564344650402314,-0.1555713960087749,0.0006944353853191032,-1.409467689778858,-3111.427920175498,-0.01555713960087749,-0.6944353853191032
0.0256,-1.87381314585725,-0.1547991616224498,0.0008500494139731529,-1.719864033648774,-3095.983232448996,-0.01547991616224498,-0.8500494139731529
0.0257,-2.18143241396541,-0.1538725087400114,0.001002824582367889,-2.028562729807767,-3077.450174800228,-0.01538725087400114,-1.002824582367889
0.0258,-2.486898871648548,-0.1527944639063574,0.001152336885128502,-2.335256744627319,-3055.889278127148,-0.01527944639063574,-1.152336885128502
0.0259,-2.789911060392291,-0.1515673667133626,0.001300294796807933,-2.639643988475736,-3031.347334267252,-0.01515673667133626,-1.300294796807933
0.026,-3.090169943749488,-0.1501919660846021,0.001449398963336623,-2.941427376628222,-3003.839321692042,-0.01501919660846021,-1.449398963336623
0.0261,-3.387379202452909,-0.1486679177305238,0.001599427382016128,-3.240310712104402,-2973.358354610477,-0.01486679177305238,-1.599427382016128
0.0262,-3.68124552684679,-0.1469952069369749,0.001747481587454747,-3.535997801497269,-2939.904138739498,-0.01469952069369749,-1.747481587454747
0.0263,-3.971478906347814,-0.1451760789924874,0.001891253748071531,-3.828194081103399,-2903.521579849748,-0.01451760789924874,-1.891253748071531
0.0264,-4.257792915650733,-0.1432143103932202,0.002030983292995892,-4.116609588550509,-2864.286207864403,-0.01432143103932202,-2.030983292995892
0.0265,-4.539904997395473,-0.141113148195929,0.002169164304730131,-4.400961013504274,-2822.262963918581,-0.0141113148195929,-2.169164304730131
