time,v1,v2,i1
0,10,10,0
0.0001,9.99506560365732,9.74821294188377,0.0493705323547094
0.0002,9.98026728428272,9.49290070196111,0.0974733164643216
0.0003,9.9556196460308,9.2341647456145,0.144290980083261
0.0004,9.92114701314478,8.97211363299585,0.189806676029787
0.0005,9.87688340595138,8.70686282013827,0.234004117162622
0.0006,9.82287250728689,8.43853445552795,0.276867610351787
0.0007,9.75916761938747,8.16725717228093,0.31838208942131
0.0008,9.68583161128631,7.89316587607531,0.3585331470422
0.0009,9.60293685676943,7.61640152899505,0.397307065554876
0.001,9.51056516295154,7.33711092944664,0.43469084670098
0.0011,9.40880768954225,7.05544648831533,0.470672240245385
0.0012,9.29776485888251,6.77156600153249,0.505239771470005
0.0013,9.17754625683981,6.48563241923025,0.538382767521912
0.0014,9.04827052466019,6.19781361166445,0.570091382599148
0.0015,8.91006524188368,5.90828213209099,0.600356621958537
0.0016,8.76306680043864,5.617214976785,0.629170364730727
0.0017,8.60742027003944,5.32479334239604,0.65652538552868
0.0018,8.44327925502015,5.03120238083635,0.682415374836761
0.0019,8.27080574274562,4.73663095190258,0.706834958168608
0.002,8.09016994374947,4.44127137383472,0.729779713982951
0.0021,7.9015501237569,4.14531917201898,0.751246190347585
0.0022,7.70513242775789,3.84897282604418,0.771231920342743
0.0023,7.5011106963046,3.55243351532378,0.789735436196163
0.0024,7.28968627421411,3.25590486349803,0.806756282143218
0.0025,7.07106781186548,2.95959268183275,0.822295026006545
0.0026,6.84547105928688,2.66370471183334,0.83635326949071
0.0027,6.61311865323652,2.36845036729388,0.848933657188528
0.0028,6.3742398974869,2.07404047600305,0.86003988429677
0.0029,6.12907053652976,1.78068702132926,0.869676703040101
0.003,5.87785252292473,1.48860288390875,0.877849927803196
0.0031,5.6208337785213,1.19800158366071,0.88456643897212
0.0032,5.35826794978997,0.909097022354183,0.889834185487157
0.0033,5.09041415750371,0.622103226951605,0.893662186110421
0.0034,4.81753674101715,0.337234093953729,0.896060529412685
0.0035,4.53990499739547,0.054703134970493,0.897040372484995
0.0036,4.25779291565073,-0.225276776258154,0.896613938381776
0.0037,3.97147890634781,-0.502493655168243,0.89479451230321
0.0038,3.68124552684678,-0.776736655782389,0.891596436525833
0.0039,3.38737920245291,-1.04779631800392,0.887035104091368
0.004,3.09016994374947,-1.31546481257512,0.88112695126492
0.0041,2.78991106039229,-1.5795361834816,0.873889448774778
0.0042,2.48689887164854,-1.83980658758699,0.865341091847107
0.0043,2.18143241396542,-2.09607453128422,0.855501389049929
0.0044,1.87381314585725,-2.34814110395195,0.844390849961838
0.0045,1.56434465040231,-2.59581020800739,0.83203097168194
0.0046,1.25333233564305,-2.83888878534969,0.818444224198547
0.0047,0.941083133185143,-3.07718703999084,0.803654034635196
0.0048,0.627905195293131,-3.31051865667453,0.787684770393532
0.0049,0.314107590781282,-3.53870101528686,0.770561721213629
0.005,1.22464679914735e-15,-3.76155540086623,0.752311080173246
0.0051,-0.314107590781284,-3.97890720902389,0.732959923648521
0.0052,-0.627905195293138,-4.19058614659056,0.712536190259485
0.0053,-0.941083133185145,-4.39642642730883,0.691068658824736
0.0054,-1.25333233564304,-4.59626696239542,0.668586925350476
0.0055,-1.56434465040231,-4.78995154580222,0.645121379079982
0.0056,-1.87381314585724,-4.97732903400951,0.620703177630452
0.0057,-2.18143241396543,-5.15825352019019,0.595364221244953
0.0058,-2.48689887164855,-5.33258450258858,0.569137126188006
0.0059,-2.78991106039229,-5.50018704696293,0.542055197314128
0.006,-3.09016994374947,-5.66093194294625,0.514152399839355
0.0061,-3.38737920245292,-5.81469585418554,0.485463330346525
0.0062,-3.68124552684678,-5.96136146212552,0.456023187055747
0.0063,-3.97147890634781,-6.10081760330862,0.425867739392162
0.0064,-4.25779291565073,-6.23295940006931,0.395033296883717
0.0065,-4.53990499739547,-6.35768838450686,0.363556677422277
0.0066,-4.81753674101715,-6.47491261562687,0.331475174921943
0.0067,-5.09041415750371,-6.58454678954873,0.298826526409004
0.0068,-5.35826794978997,-6.6865123426821,0.265648878578426
0.0069,-5.62083377852131,-6.78073754778263,0.231980753852265
0.007,-5.87785252292473,-6.86715760280372,0.197861015975799
0.0071,-6.12907053652977,-6.94571471246786,0.16332883518762
0.0072,-6.3742398974869,-7.01635816248805,0.12842365300023
0.0073,-6.61311865323652,-7.07904438637686,0.0931851466280677
0.0074,-6.84547105928689,-7.13373702478767,0.0576531931001564
0.0075,-7.07106781186548,-7.18040697733967,0.0218678330948381
0.0076,-7.28968627421412,-7.21903244688549,-0.0141307654657248
0.0077,-7.5011106963046,-7.24959897618756,-0.0503023440234074
0.0078,-7.70513242775789,-7.27209947697631,-0.0866065901563171
0.0079,-7.9015501237569,-7.28653425137098,-0.123003174477185
0.008,-8.09016994374947,-7.29291100565077,-0.15945178761974
0.0081,-8.27080574274562,-7.29124485637164,-0.195912177274796
0.0082,-8.44327925502015,-7.28155832883114,-0.232344185237803
0.0083,-8.60742027003944,-7.26388134789139,-0.268707784429609
0.0084,-8.76306680043864,-7.23825122117724,-0.304963115852281
0.0085,-8.91006524188368,-7.20471261467414,-0.341070525441909
0.0086,-9.0482705246602,-7.16331752075775,-0.376990600780489
0.0087,-9.17754625683981,-7.11412521869422,-0.412684207629119
0.0088,-9.29776485888251,-7.05720222765752,-0.448112526244998
0.0089,-9.40880768954225,-6.99262225231757,-0.483237087444936
0.009,-9.51056516295153,-6.92046612105964,-0.518019808378379
0.0091,-9.60293685676943,-6.840821716903,-0.552423027973285
0.0092,-9.68583161128631,-6.75378390119367,-0.586409542018527
0.0093,-9.75916761938747,-6.659454430153,-0.619942637846894
0.0094,-9.82287250728689,-6.55794186437087,-0.652986128583203
0.0095,-9.87688340595138,-6.44936147133899,-0.685504386922478
0.0096,-9.92114701314478,-6.33383512112657,-0.717462378403642
0.0097,-9.9556196460308,-6.21149117530717,-0.748825694144726
0.0098,-9.98026728428272,-6.08246436925209,-0.779560583006124
0.0099,-9.99506560365732,-5.94689568791214,-0.809633983149035
0.01,-10,-5.80493223521573,-0.839013552956855
0.0101,-9.99506560365731,-5.65672709721763,-0.867667701287938
0.0102,-9.98026728428272,-5.50243919913857,-0.895565617028828
0.0103,-9.9556196460308,-5.3422331564419,-0.92267729791778
0.0104,-9.92114701314478,-5.17627912009912,-0.948973578609132
0.0105,-9.87688340595138,-5.00475261620195,-0.974426157949885
0.0106,-9.82287250728689,-4.82783438008389,-0.9990076254406
0.0107,-9.75916761938747,-4.64571018511943,-1.02269148685361
0.0108,-9.68583161128631,-4.4585706663746,-1.04545218898234
0.0109,-9.60293685676943,-4.26661113928695,-1.0672651434965
0.011,-9.51056516295154,-4.07003141355848,-1.08810674987861
0.0111,-9.40880768954226,-3.86903560244911,-1.10795441741863
0.0112,-9.29776485888252,-3.66383192766297,-1.12678658624391
0.0113,-9.17754625683981,-3.45463252002417,-1.14458274736313
0.0114,-9.0482705246602,-3.24165321614248,-1.16132346170354
0.0115,-8.91006524188368,-3.02511335127326,-1.17699037812208
0.0116,-8.76306680043863,-2.80523554858005,-1.19156625037172
0.0117,-8.60742027003943,-2.58224550501096,-1.20503495300569
0.0118,-8.44327925502015,-2.35637177400399,-1.21738149620323
0.0119,-8.27080574274562,-2.12784554523892,-1.22859203950134
0.012,-8.09016994374948,-1.89690042165659,-1.23865390441858
0.0121,-7.9015501237569,-1.6637721939687,-1.24755558595764
0.0122,-7.70513242775789,-1.42869861288403,-1.25528676297477
0.0123,-7.5011106963046,-1.1919191592787,-1.26183830740518
0.0124,-7.28968627421411,-0.953674812540471,-1.26720229233473
0.0125,-7.07106781186547,-0.714207817318595,-1.27137199890938
0.0126,-6.84547105928688,-0.473761448912124,-1.27434192207495
0.0127,-6.61311865323652,-0.232579777531214,-1.27610777514106
0.0128,-6.3742398974869,0.00909256833337707,-1.27666649316406
0.0129,-6.12907053652977,0.251010639196387,-1.27601623514523
0.013,-5.87785252292473,0.492929402282936,-1.27415638504153
0.0131,-5.6208337785213,0.734603979415133,-1.27108755158729
0.0132,-5.35826794978996,0.975789884843241,-1.26681156692664
0.0133,-5.09041415750371,1.21624326278415,-1.26133148405757
0.0134,-4.81753674101715,1.45572112443053,-1.25465157308954
0.0135,-4.53990499739547,1.6939815841944,-1.24677731631797
0.0136,-4.25779291565072,1.93078409494984,-1.23771540212011
0.0137,-3.9714789063478,2.16588968204038,-1.22747371767764
0.0138,-3.68124552684678,2.39906117581818,-1.21606134053299
0.0139,-3.38737920245291,2.63006344248327,-1.20348852898724
0.014,-3.09016994374948,2.85866361299325,-1.18976671134855
0.0141,-2.78991106039229,3.08463130981533,-1.17490847404152
0.0142,-2.48689887164854,3.3077388712952,-1.15892754858875
0.0143,-2.18143241396542,3.52776157341938,-1.14183879747696
0.0144,-1.87381314585724,3.74447784875045,-1.12365819892154
0.0145,-1.56434465040231,3.95766950231703,-1.10440283054387
0.0146,-1.25333233564305,4.16712192424428,-1.08409085197747
0.0147,-0.94108313318514,4.37262429891272,-1.06274148641957
0.0148,-0.627905195293133,4.57396981043785,-1.0403750011462
0.0149,-0.314107590781284,4.7709558442659,-1.01701268700944
0.015,6.43249059870655e-15,4.9633841846853,-0.992676836937059
0.0151,0.314107590781288,5.1510612080573,-0.967390723455203
0.0152,0.627905195293137,5.33379807157376,-0.941178575256125
0.0153,0.941083133185144,5.51141089735417,-0.914065552833805
0.0154,1.25333233564304,5.6837209516989,-0.886077723211173
0.0155,1.56434465040231,5.85055481932043,-0.857242033783624
0.0156,1.87381314585725,6.01174457237913,-0.827586285304376
0.0157,2.18143241396543,6.16712793415562,-0.797139104038039
0.0158,2.48689887164855,6.31654843719684,-0.765929913109658
0.0159,2.78991106039229,6.45985557577839,-0.73398890307722
0.016,3.09016994374947,6.59690495253169,-0.701347001756444
0.0161,3.38737920245291,6.72755841908986,-0.668035843327391
0.0162,3.68124552684677,6.85168421061245,-0.634087736753135
0.0163,3.97147890634781,6.96915707405515,-0.599535633541466
0.0164,4.25779291565073,7.07985839005667,-0.564413094881187
0.0165,4.53990499739547,7.18367628832168,-0.528754258185241
0.0166,4.81753674101716,7.28050575638453,-0.492593803073475
0.0167,5.09041415750372,7.37024874164571,-0.4559669168284
0.0168,5.35826794978997,7.45281424657916,-0.418909259357837
0.0169,5.62083377852131,7.52811841701556,-0.38145692769885
0.017,5.87785252292474,7.59608462341362,-0.343646420097778
0.0171,6.12907053652977,7.65664353503801,-0.305514599701648
0.0172,6.3742398974869,7.70973318697004,-0.267098657896628
0.0173,6.61311865323652,7.75529903988398,-0.228436077329493
0.0174,6.84547105928689,7.79329403252919,-0.18956459464846
0.0175,7.07106781186548,7.82367862686535,-0.150522162999974
0.0176,7.28968627421412,7.8464208458056,-0.111346914318297
0.0177,7.5011106963046,7.86149630352939,-0.072077121444959
0.0178,7.70513242775789,7.86888822833439,-0.0327511601152996
0.0179,7.9015501237569,7.86858747800417,0.00659252915054684
0.018,8.09016994374948,7.86059254767575,0.0459154792147466
0.0181,8.27080574274562,7.84490957019846,0.0851792345094321
0.0182,8.44327925502015,7.82155230898322,0.124345389207386
0.0183,8.60742027003944,7.79054214334836,0.163375625338215
0.0184,8.76306680043864,7.75190804637601,0.202231750812526
0.0185,8.91006524188368,7.7056865553001,0.240875737316716
0.0186,9.0482705246602,7.65192173445468,0.279269758041103
0.0187,9.17754625683981,7.59066513081838,0.317376225204286
0.0188,9.29776485888251,7.52197572219838,0.355157827336828
0.0189,9.40880768954225,7.44591985810433,0.392577566287585
0.019,9.51056516295153,7.36257119337018,0.429598793916271
0.0191,9.60293685676943,7.27201061458859,0.466185248436168
0.0192,9.68583161128631,7.17432615943024,0.502301090371215
0.0193,9.75916761938747,7.06961292892693,0.537910938092108
0.0194,9.82287250728689,6.9579729928047,0.572979902896437
0.0195,9.87688340595138,6.83951528795964,0.607473623598348
0.0196,9.92114701314478,6.71435551017634,0.641358300593688
0.0197,9.9556196460308,6.58261599919522,0.674600729367117
0.0198,9.98026728428272,6.44442561724167,0.707168333408209
0.0199,9.99506560365732,6.29991962113655,0.739029196504154
0.02,10,6.1492395281136,0.77015209437728
0.0201,9.99506560365732,5.99253297547605,0.800506525636254
0.0202,9.98026728428271,5.82995357423012,0.830062742010519
0.0203,9.9556196460308,5.66166075683983,0.858791777838194
0.0204,9.92114701314478,5.48781961925265,0.886665478778425
0.0205,9.87688340595138,5.3086007573517,0.913656529719936
0.0206,9.82287250728689,5.12418009799537,0.939738481858304
0.0207,9.75916761938747,4.93473872481088,0.964885778915319
0.0208,9.68583161128631,4.74046269891316,0.989073782474629
0.0209,9.60293685676943,4.54154287472579,1.01227879640873
0.021,9.51056516295154,4.33817471108526,1.03447809037325
0.0211,9.40880768954225,4.13055807781473,1.0556499223455
0.0212,9.29776485888252,3.91889705795784,1.07577356018494
0.0213,9.17754625683981,3.70339974586731,1.0948293021945
0.0214,9.04827052466019,3.48427804134751,1.11279849666254
0.0215,8.91006524188368,3.26174744005348,1.12966356036604
0.0216,8.76306680043863,3.03602682035336,1.14540799601706
0.0217,8.60742027003944,2.80733822686394,1.1600164086351
0.0218,8.44327925502015,2.57590665087295,1.17347452082944
0.0219,8.27080574274562,2.3419598078642,1.18576918697628
0.022,8.09016994374947,2.10572791236518,1.19688840627686
0.0221,7.90155012375691,1.86744345033882,1.20682133468362
0.0222,7.70513242775789,1.62734094934377,1.21555829568282
0.0223,7.5011106963046,1.38565674669006,1.22309078992291
0.0224,7.28968627421411,1.14262875581822,1.22941150367918
0.0225,7.07106781186547,0.898496231132692,1.23451431614656
0.0226,6.84547105928688,0.653499531520934,1.23839430555319
0.0227,6.61311865323652,0.40787988279166,1.24104775408897
0.0228,6.3742398974869,0.161879139266314,1.24247215164412
0.0229,6.12907053652977,-0.0842604552411335,1.24266619835418
0.023,5.87785252292473,-0.330296506820396,1.24162980594903
0.0231,5.6208337785213,-0.575986711001065,1.23936409790447
0.0232,5.35826794978997,-0.821089092192469,1.23587140839649
0.0233,5.09041415750371,-1.06536224279144,1.23115528005903
0.0234,4.81753674101716,-1.30856556172157,1.22522046054775
0.0235,4.53990499739546,-1.55045949216963,1.21807289791302
0.0236,4.25779291565074,-1.79080575828369,1.20971973478689
0.0237,3.9714789063478,-2.02936760060057,1.20016930138967
0.0238,3.68124552684676,-2.26591000996948,1.18943110736325
0.0239,3.38737920245292,-2.50019995974194,1.17751583243897
0.024,3.09016994374946,-2.73200663599863,1.16443531594962
0.0241,2.7899110603923,-2.96110166558599,1.15020254519566
0.0242,2.48689887164854,-3.1872593417382,1.13483164267735
0.0243,2.18143241396542,-3.41025684706132,1.11833785220535
0.0244,1.87381314585724,-3.62987447366048,1.10073752390354
0.0245,1.5643446504023,-3.84589584019226,1.08204809811891
0.0246,1.25333233564304,-4.05810810562876,1.06228808825436
0.0247,0.941083133185141,-4.26630217952227,1.04147706254148
0.0248,0.627905195293134,-4.47027292856321,1.01963562477127
0.0249,0.314107590781267,-4.66981937922769,0.996785394001791
0.025,3.67394039744206e-15,-4.86474491631467,0.972948983262935
0.0251,-0.314107590781295,-5.05485747717732,0.948149977279205
0.0252,-0.627905195293126,-5.23996974145623,0.922412909232621
0.0253,-0.941083133185152,-5.41989931612845,0.895763236588659
0.0254,-1.25333233564305,-5.59446891568863,0.868227316009116
0.0255,-1.56434465040231,-5.76350653728572,0.83983237737668
0.0256,-1.87381314585725,-5.92684563064156,0.810606496956862
0.0257,-2.18143241396543,-6.08432526258441,0.780578569723797
0.0258,-2.48689887164855,-6.23579027603479,0.749778280877249
0.0259,-2.78991106039231,-6.38109144328703,0.718236076578945
0.026,-3.09016994374949,-6.52008561343518,0.685983133937139
0.0261,-3.38737920245293,-6.6526358537982,0.653051330269056
0.0262,-3.68124552684679,-6.77861158520453,0.619473211671549
0.0263,-3.97147890634781,-6.89788871100296,0.58528196093103
0.0264,-4.25779291565073,-7.01034973967244,0.550511364804342
0.0265,-4.53990499739547,-7.1158839009099,0.515195780702886
0.0266,-4.81753674101716,-7.21438725508169,0.479370102812907
0.0267,-5.09041415750371,-7.30576279593059,0.443069727685376
0.0268,-5.35826794978997,-7.38992054643725,0.406330519329457
0.0269,-5.6208337785213,-7.46677764774135,0.36918877384401
0.027,-5.87785252292473,-7.53625844103507,0.331681183622069
0.0271,-6.12907053652977,-7.59829454234783,0.293844801163612
0.0272,-6.37423989748691,-7.65282491014876,0.25571700253237
0.0273,-6.61311865323652,-7.69979590570026,0.217335450492748
0.0274,-6.84547105928689,-7.73916134610309,0.178738057363239
0.0275,-7.07106781186548,-7.77088254998063,0.13996294762303
0.0276,-7.28968627421412,-7.79492837575754,0.101048420308685
0.0277,-7.5011106963046,-7.81127525249486,0.0620329112380536
0.0278,-7.70513242775789,-7.81990720325133,0.0229549550986881
0.0279,-7.9015501237569,-7.82081586094785,-0.0161468525618099
0.028,-8.09016994374947,-7.81400047671958,-0.0552338934059785
0.0281,-8.27080574274562,-7.79946792074739,-0.0942675643996459
0.0282,-8.44327925502016,-7.77723267556799,-0.133209315890434
0.0283,-8.60742027003944,-7.7473168218693,-0.172020689634028
0.0284,-8.76306680043864,-7.70975001678532,-0.210663356730664
0.0285,-8.91006524188368,-7.66456946471165,-0.249099155434406
0.0286,-9.0482705246602,-7.61181988067088,-0.287290128797863
0.0287,-9.17754625683981,-7.55155344626381,-0.3251985621152
0.0288,-9.29776485888252,-7.4838297582501,-0.362787020126484
0.0289,-9.40880768954225,-7.40871576980909,-0.400018383946632
0.029,-9.51056516295153,-7.32628572453902,-0.436855887682503
0.0291,-9.60293685676943,-7.23662108325944,-0.473263154701999
0.0292,-9.68583161128631,-7.13981044368945,-0.509204233519371
0.0293,-9.75916761938748,-7.03594945308099,-0.544643633261297
0.0294,-9.82287250728689,-6.92514071389323,-0.579546358678733
0.0295,-9.87688340595138,-6.80749368260153,-0.613877944669969
0.0296,-9.92114701314478,-6.68312456174066,-0.647604490280825
0.0297,-9.9556196460308,-6.55215618528881,-0.680692692148399
0.0298,-9.98026728428272,-6.41471789750579,-0.713109877355385
0.0299,-9.99506560365732,-6.27094542534476,-0.744824035662512
0.03,-10,-6.12098074456359,-0.775803851087282
0.0301,-9.99506560365731,-5.96497193966801,-0.806018732797861
0.0302,-9.98026728428271,-5.80307305782475,-0.835438845291593
0.0303,-9.9556196460308,-5.63544395688891,-0.864035137828377
0.0304,-9.92114701314478,-5.46225014769559,-0.891779373089838
0.0305,-9.87688340595138,-5.28366263077135,-0.918644155036006
0.0306,-9.82287250728689,-5.09985772762688,-0.944602955932001
0.0307,-9.75916761938747,-4.91101690679717,-0.969630142518061
0.0308,-9.68583161128631,-4.71732660480103,-0.993701001297057
0.0309,-9.60293685676943,-4.51897804219668,-1.01679176291455
0.031,-9.51056516295154,-4.31616703491489,-1.03887962560733
0.0311,-9.40880768954225,-4.10909380105596,-1.05994277769726
0.0312,-9.29776485888251,-3.89796276334126,-1.07996041910825
0.0313,-9.17754625683981,-3.68298234741411,-1.09891278188514
0.0314,-9.04827052466019,-3.46436477618945,-1.11678114969415
0.0315,-8.91006524188368,-3.24232586045488,-1.13354787628576
0.0316,-8.76306680043863,-3.01708478593003,-1.14919640290172
0.0317,-8.60742027003944,-2.78886389699428,-1.16371127460903
0.0318,-8.44327925502015,-2.55788847729636,-1.17707815554476
0.0319,-8.27080574274561,-2.32438652746234,-1.18928384305665
0.032,-8.09016994374948,-2.08858854012141,-1.20031628072561
0.0321,-7.9015501237569,-1.85072727247142,-1.2101645702571
0.0322,-7.7051324277579,-1.61103751660892,-1.2188189822298
0.0323,-7.50111069630459,-1.36975586784987,-1.22627096569094
0.0324,-7.28968627421412,-1.1271204912704,-1.23251315658874
0.0325,-7.07106781186547,-0.883370886697155,-1.23753938503366
0.0326,-6.84547105928687,-0.638747652380089,-1.24134468138136
0.0327,-6.61311865323652,-0.393492247580231,-1.24392528113126
0.0328,-6.37423989748688,-0.147846754307007,-1.24527862863598
0.0329,-6.12907053652977,0.0979463615594543,-1.24540337961784
0.033,-5.87785252292472,0.343644489525934,-1.24429940249013
0.0331,-5.6208337785213,0.589005113886699,-1.2419677784816
0.0332,-5.35826794978996,0.83378605303156,-1.2384108005643
